,Algaater
0,-43
1,-27
2,-64
3,-8
4,-32
5,-44
6,-41
7,-25
8,-19
9,-23
10,-53
11,-33
12,-30
13,-42
14,-19
15,-39
16,-6
17,-46
18,-23
19,-19
20,-42
21,-30
22,-19
23,-31
24,-15
25,-23
26,-30
27,-34
28,-31
29,-27
30,-41
31,-5
32,-35
33,-43
34,-20
35,-16
36,-18
37,-22
38,1
39,-63
40,-19
41,-27
42,-36
43,-36
44,-11
45,-39
46,-8
47,-16
48,-28
49,-36
50,-47
51,-35
52,-24
53,-24
54,-38
55,-46
56,-21
57,-25
58,-28
59,-36
60,4
61,-52
62,-30
63,-30
64,-38
65,-22
66,-43
67,-23
68,-25
69,-5
70,-28
71,-28
72,-38
73,-22
74,-24
75,-28
76,-17
77,-17
78,-35
79,-23
80,-30
81,-42
82,-24
83,-28
84,-32
85,-12
86,-15
87,-23
88,-20
89,-52
90,-27
91,-35
92,-24
93,-28
94,-24
95,-24
96,-36
97,-28
98,-32
99,-48
