,Unnamed: 0,Rewards,Agent
0,0,50,AlegAATr
1,1,50,AlegAATr
2,2,50,AlegAATr
3,3,50,AlegAATr
4,4,50,AlegAATr
5,5,50,AlegAATr
6,6,50,AlegAATr
7,7,50,AlegAATr
8,8,50,AlegAATr
9,9,50,AlegAATr
10,10,50,AlegAATr
11,11,50,AlegAATr
12,12,50,AlegAATr
13,13,50,AlegAATr
14,14,50,AlegAATr
15,15,50,AlegAATr
16,16,50,AlegAATr
17,17,50,AlegAATr
18,18,50,AlegAATr
19,19,50,AlegAATr
20,20,50,AlegAATr
21,21,50,AlegAATr
22,22,50,AlegAATr
23,23,50,AlegAATr
24,24,50,AlegAATr
25,25,50,AlegAATr
26,26,50,AlegAATr
27,27,50,AlegAATr
28,28,50,AlegAATr
29,29,50,AlegAATr
30,30,50,AlegAATr
31,31,50,AlegAATr
32,32,50,AlegAATr
33,33,50,AlegAATr
34,34,50,AlegAATr
35,35,50,AlegAATr
36,36,50,AlegAATr
37,37,50,AlegAATr
38,38,50,AlegAATr
39,39,50,AlegAATr
40,40,50,AlegAATr
41,41,50,AlegAATr
42,42,50,AlegAATr
43,43,50,AlegAATr
44,44,50,AlegAATr
45,45,50,AlegAATr
46,46,50,AlegAATr
47,47,50,AlegAATr
48,48,50,AlegAATr
49,49,50,AlegAATr
50,50,-70,AlegAATr
51,51,-54,AlegAATr
52,52,-54,AlegAATr
53,53,-70,AlegAATr
54,54,-54,AlegAATr
55,55,-70,AlegAATr
56,56,-54,AlegAATr
57,57,-70,AlegAATr
58,58,-70,AlegAATr
59,59,-54,AlegAATr
60,60,-54,AlegAATr
61,61,-70,AlegAATr
62,62,-70,AlegAATr
63,63,-54,AlegAATr
64,64,-70,AlegAATr
65,65,-70,AlegAATr
66,66,-66,AlegAATr
67,67,-66,AlegAATr
68,68,-66,AlegAATr
69,69,-70,AlegAATr
70,70,-74,AlegAATr
71,71,-70,AlegAATr
72,72,-70,AlegAATr
73,73,-70,AlegAATr
74,74,-54,AlegAATr
75,75,-70,AlegAATr
76,76,-54,AlegAATr
77,77,-54,AlegAATr
78,78,-70,AlegAATr
79,79,-54,AlegAATr
80,80,-54,AlegAATr
81,81,-54,AlegAATr
82,82,-54,AlegAATr
83,83,-54,AlegAATr
84,84,-54,AlegAATr
85,85,-70,AlegAATr
86,86,-54,AlegAATr
87,87,-54,AlegAATr
88,88,-70,AlegAATr
89,89,-54,AlegAATr
90,90,-70,AlegAATr
91,91,-66,AlegAATr
92,92,-54,AlegAATr
93,93,-74,AlegAATr
94,94,-54,AlegAATr
95,95,-70,AlegAATr
96,96,-54,AlegAATr
97,97,-54,AlegAATr
98,98,-54,AlegAATr
99,99,-70,AlegAATr
100,100,-70,AlegAATr
101,101,-54,AlegAATr
102,102,-54,AlegAATr
103,103,-74,AlegAATr
104,104,-54,AlegAATr
105,105,-70,AlegAATr
106,106,-54,AlegAATr
107,107,-70,AlegAATr
108,108,-70,AlegAATr
109,109,-54,AlegAATr
110,110,-54,AlegAATr
111,111,-70,AlegAATr
112,112,-70,AlegAATr
113,113,-54,AlegAATr
114,114,-74,AlegAATr
115,115,-70,AlegAATr
116,116,-70,AlegAATr
117,117,-70,AlegAATr
118,118,-70,AlegAATr
119,119,-70,AlegAATr
120,120,-70,AlegAATr
121,121,-70,AlegAATr
122,122,-70,AlegAATr
123,123,-70,AlegAATr
124,124,-54,AlegAATr
125,125,-70,AlegAATr
126,126,-54,AlegAATr
127,127,-54,AlegAATr
