,Unnamed: 0,Rewards,Agent
0,0,51,AlegAATr
1,1,-29,AlegAATr
2,2,51,AlegAATr
3,3,51,AlegAATr
4,4,52,AlegAATr
5,5,35,AlegAATr
6,6,-29,AlegAATr
7,7,51,AlegAATr
8,8,52,AlegAATr
9,9,-29,AlegAATr
10,10,51,AlegAATr
11,11,52,AlegAATr
12,12,52,AlegAATr
13,13,51,AlegAATr
14,14,52,AlegAATr
15,15,52,AlegAATr
16,16,51,AlegAATr
17,17,51,AlegAATr
18,18,-29,AlegAATr
19,19,52,AlegAATr
20,20,51,AlegAATr
21,21,52,AlegAATr
22,22,-29,AlegAATr
23,23,51,AlegAATr
24,24,35,AlegAATr
25,25,51,AlegAATr
26,26,-29,AlegAATr
27,27,51,AlegAATr
28,28,51,AlegAATr
29,29,35,AlegAATr
30,30,51,AlegAATr
31,31,52,AlegAATr
32,32,52,AlegAATr
33,33,51,AlegAATr
34,34,51,AlegAATr
35,35,52,AlegAATr
36,36,51,AlegAATr
37,37,52,AlegAATr
38,38,51,AlegAATr
39,39,51,AlegAATr
40,40,51,AlegAATr
41,41,35,AlegAATr
42,42,52,AlegAATr
43,43,51,AlegAATr
44,44,51,AlegAATr
45,45,51,AlegAATr
46,46,52,AlegAATr
47,47,51,AlegAATr
48,48,51,AlegAATr
49,49,52,AlegAATr
50,0,52,AlegAATr
51,1,26,AlegAATr
52,2,31,AlegAATr
53,3,54,AlegAATr
54,4,-59,AlegAATr
55,5,16,AlegAATr
56,6,-25,AlegAATr
57,7,52,AlegAATr
58,8,-35,AlegAATr
59,9,-41,AlegAATr
60,10,36,AlegAATr
61,11,-24,AlegAATr
62,12,-3,AlegAATr
63,13,15,AlegAATr
64,14,-39,AlegAATr
65,15,30,AlegAATr
66,16,-55,AlegAATr
67,17,-57,AlegAATr
68,18,-61,AlegAATr
69,19,52,AlegAATr
70,20,50,AlegAATr
71,21,44,AlegAATr
72,22,17,AlegAATr
73,23,29,AlegAATr
74,24,-16,AlegAATr
75,25,-54,AlegAATr
76,26,28,AlegAATr
77,27,-66,AlegAATr
78,28,-23,AlegAATr
79,29,-34,AlegAATr
80,30,-70,AlegAATr
81,31,19,AlegAATr
82,32,-19,AlegAATr
83,33,-55,AlegAATr
84,34,9,AlegAATr
85,35,-59,AlegAATr
86,36,16,AlegAATr
87,37,-56,AlegAATr
88,38,50,AlegAATr
89,39,4,AlegAATr
90,40,55,AlegAATr
91,41,-14,AlegAATr
92,42,-61,AlegAATr
93,43,-43,AlegAATr
94,44,-62,AlegAATr
95,45,-29,AlegAATr
96,46,-17,AlegAATr
97,47,-55,AlegAATr
98,48,-43,AlegAATr
99,49,11,AlegAATr
100,0,50,AlegAATr
101,1,51,AlegAATr
102,2,-64,AlegAATr
103,3,-70,AlegAATr
104,4,-60,AlegAATr
105,5,-46,AlegAATr
106,6,-8,AlegAATr
107,7,50,AlegAATr
108,8,-54,AlegAATr
109,9,50,AlegAATr
110,10,50,AlegAATr
111,11,50,AlegAATr
112,12,-49,AlegAATr
113,13,-50,AlegAATr
114,14,-78,AlegAATr
115,15,-58,AlegAATr
116,16,-45,AlegAATr
117,17,-38,AlegAATr
118,18,52,AlegAATr
119,19,-62,AlegAATr
120,20,-49,AlegAATr
121,21,51,AlegAATr
122,22,51,AlegAATr
123,23,-70,AlegAATr
124,24,51,AlegAATr
125,25,50,AlegAATr
126,26,29,AlegAATr
127,27,-33,AlegAATr
128,28,-54,AlegAATr
129,29,50,AlegAATr
130,30,-46,AlegAATr
131,31,29,AlegAATr
132,32,50,AlegAATr
133,33,7,AlegAATr
134,34,-41,AlegAATr
135,35,-54,AlegAATr
136,36,-37,AlegAATr
137,37,-30,AlegAATr
138,38,50,AlegAATr
139,39,-49,AlegAATr
140,40,50,AlegAATr
141,41,-25,AlegAATr
142,42,-41,AlegAATr
143,43,50,AlegAATr
144,44,-38,AlegAATr
145,45,-56,AlegAATr
146,46,-54,AlegAATr
147,47,-56,AlegAATr
148,48,-62,AlegAATr
149,49,50,AlegAATr
150,0,104,AlegAAATr
151,1,91,AlegAAATr
152,2,111,AlegAAATr
153,3,111,AlegAAATr
154,4,95,AlegAAATr
155,5,111,AlegAAATr
156,6,111,AlegAAATr
157,7,95,AlegAAATr
158,8,95,AlegAAATr
159,9,111,AlegAAATr
160,10,95,AlegAAATr
161,11,95,AlegAAATr
162,12,91,AlegAAATr
163,13,111,AlegAAATr
164,14,109,AlegAAATr
165,15,95,AlegAAATr
166,16,109,AlegAAATr
167,17,95,AlegAAATr
168,18,111,AlegAAATr
169,19,111,AlegAAATr
170,20,111,AlegAAATr
171,21,120,AlegAAATr
172,22,95,AlegAAATr
173,23,91,AlegAAATr
174,24,91,AlegAAATr
175,25,95,AlegAAATr
176,26,109,AlegAAATr
177,27,91,AlegAAATr
178,28,95,AlegAAATr
179,29,95,AlegAAATr
180,30,111,AlegAAATr
181,31,95,AlegAAATr
182,32,111,AlegAAATr
183,33,95,AlegAAATr
184,34,91,AlegAAATr
185,35,95,AlegAAATr
186,36,109,AlegAAATr
187,37,95,AlegAAATr
188,38,109,AlegAAATr
189,39,95,AlegAAATr
190,40,95,AlegAAATr
191,41,109,AlegAAATr
192,42,109,AlegAAATr
193,43,95,AlegAAATr
194,44,88,AlegAAATr
195,45,95,AlegAAATr
196,46,95,AlegAAATr
197,47,111,AlegAAATr
198,48,91,AlegAAATr
199,49,95,AlegAAATr
200,0,-68,AlegAAATr
201,1,-94,AlegAAATr
202,2,-41,AlegAAATr
203,3,-86,AlegAAATr
204,4,-63,AlegAAATr
205,5,-35,AlegAAATr
206,6,-5,AlegAAATr
207,7,33,AlegAAATr
208,8,-13,AlegAAATr
209,9,-68,AlegAAATr
210,10,-49,AlegAAATr
211,11,-58,AlegAAATr
212,12,-86,AlegAAATr
213,13,-77,AlegAAATr
214,14,25,AlegAAATr
215,15,-59,AlegAAATr
216,16,-69,AlegAAATr
217,17,22,AlegAAATr
218,18,31,AlegAAATr
219,19,-7,AlegAAATr
220,20,-29,AlegAAATr
221,21,14,AlegAAATr
222,22,-49,AlegAAATr
223,23,-90,AlegAAATr
224,24,-78,AlegAAATr
225,25,-48,AlegAAATr
226,26,-86,AlegAAATr
227,27,-28,AlegAAATr
228,28,29,AlegAAATr
229,29,42,AlegAAATr
230,30,-60,AlegAAATr
231,31,-75,AlegAAATr
232,32,-49,AlegAAATr
233,33,37,AlegAAATr
234,34,-53,AlegAAATr
235,35,-8,AlegAAATr
236,36,-56,AlegAAATr
237,37,-77,AlegAAATr
238,38,-54,AlegAAATr
239,39,6,AlegAAATr
240,40,-77,AlegAAATr
241,41,-30,AlegAAATr
242,42,41,AlegAAATr
243,43,-47,AlegAAATr
244,44,-110,AlegAAATr
245,45,27,AlegAAATr
246,46,-22,AlegAAATr
247,47,-102,AlegAAATr
248,48,-63,AlegAAATr
249,49,-39,AlegAAATr
250,0,-87,AlegAAATr
251,1,-76,AlegAAATr
252,2,-50,AlegAAATr
253,3,15,AlegAAATr
254,4,19,AlegAAATr
255,5,34,AlegAAATr
256,6,-18,AlegAAATr
257,7,5,AlegAAATr
258,8,-22,AlegAAATr
259,9,34,AlegAAATr
260,10,-72,AlegAAATr
261,11,-80,AlegAAATr
262,12,-80,AlegAAATr
263,13,28,AlegAAATr
264,14,-71,AlegAAATr
265,15,-41,AlegAAATr
266,16,-96,AlegAAATr
267,17,-63,AlegAAATr
268,18,-44,AlegAAATr
269,19,-118,AlegAAATr
270,20,-9,AlegAAATr
271,21,-71,AlegAAATr
272,22,-25,AlegAAATr
273,23,15,AlegAAATr
274,24,-28,AlegAAATr
275,25,-14,AlegAAATr
276,26,28,AlegAAATr
277,27,-44,AlegAAATr
278,28,28,AlegAAATr
279,29,1,AlegAAATr
280,30,-8,AlegAAATr
281,31,-114,AlegAAATr
282,32,44,AlegAAATr
283,33,28,AlegAAATr
284,34,-105,AlegAAATr
285,35,-20,AlegAAATr
286,36,-82,AlegAAATr
287,37,-41,AlegAAATr
288,38,-114,AlegAAATr
289,39,28,AlegAAATr
290,40,-54,AlegAAATr
291,41,-31,AlegAAATr
292,42,26,AlegAAATr
293,43,-31,AlegAAATr
294,44,-41,AlegAAATr
295,45,12,AlegAAATr
296,46,-34,AlegAAATr
297,47,-52,AlegAAATr
298,48,5,AlegAAATr
299,49,-46,AlegAAATr
300,0,113,AlegAAATTr
301,1,112,AlegAAATTr
302,2,104,AlegAAATTr
303,3,94,AlegAAATTr
304,4,104,AlegAAATTr
305,5,113,AlegAAATTr
306,6,91,AlegAAATTr
307,7,94,AlegAAATTr
308,8,112,AlegAAATTr
309,9,94,AlegAAATTr
310,10,112,AlegAAATTr
311,11,94,AlegAAATTr
312,12,104,AlegAAATTr
313,13,104,AlegAAATTr
314,14,104,AlegAAATTr
315,15,104,AlegAAATTr
316,16,94,AlegAAATTr
317,17,112,AlegAAATTr
318,18,104,AlegAAATTr
319,19,112,AlegAAATTr
320,20,94,AlegAAATTr
321,21,94,AlegAAATTr
322,22,112,AlegAAATTr
323,23,104,AlegAAATTr
324,24,94,AlegAAATTr
325,25,112,AlegAAATTr
326,26,94,AlegAAATTr
327,27,113,AlegAAATTr
328,28,91,AlegAAATTr
329,29,112,AlegAAATTr
330,30,94,AlegAAATTr
331,31,94,AlegAAATTr
332,32,112,AlegAAATTr
333,33,112,AlegAAATTr
334,34,112,AlegAAATTr
335,35,94,AlegAAATTr
336,36,113,AlegAAATTr
337,37,94,AlegAAATTr
338,38,94,AlegAAATTr
339,39,112,AlegAAATTr
340,40,112,AlegAAATTr
341,41,112,AlegAAATTr
342,42,113,AlegAAATTr
343,43,112,AlegAAATTr
344,44,112,AlegAAATTr
345,45,91,AlegAAATTr
346,46,94,AlegAAATTr
347,47,113,AlegAAATTr
348,48,104,AlegAAATTr
349,49,112,AlegAAATTr
350,0,50,AlegAAATTr
351,1,41,AlegAAATTr
352,2,-26,AlegAAATTr
353,3,-95,AlegAAATTr
354,4,-31,AlegAAATTr
355,5,-32,AlegAAATTr
356,6,-83,AlegAAATTr
357,7,-25,AlegAAATTr
358,8,-5,AlegAAATTr
359,9,-101,AlegAAATTr
360,10,-30,AlegAAATTr
361,11,-24,AlegAAATTr
362,12,-18,AlegAAATTr
363,13,-21,AlegAAATTr
364,14,-80,AlegAAATTr
365,15,-74,AlegAAATTr
366,16,-69,AlegAAATTr
367,17,-19,AlegAAATTr
368,18,-44,AlegAAATTr
369,19,-46,AlegAAATTr
370,20,3,AlegAAATTr
371,21,-40,AlegAAATTr
372,22,46,AlegAAATTr
373,23,7,AlegAAATTr
374,24,38,AlegAAATTr
375,25,-17,AlegAAATTr
376,26,-20,AlegAAATTr
377,27,-69,AlegAAATTr
378,28,-34,AlegAAATTr
379,29,-4,AlegAAATTr
380,30,16,AlegAAATTr
381,31,31,AlegAAATTr
382,32,-2,AlegAAATTr
383,33,-106,AlegAAATTr
384,34,-16,AlegAAATTr
385,35,-12,AlegAAATTr
386,36,-38,AlegAAATTr
387,37,-87,AlegAAATTr
388,38,43,AlegAAATTr
389,39,34,AlegAAATTr
390,40,-39,AlegAAATTr
391,41,-104,AlegAAATTr
392,42,-98,AlegAAATTr
393,43,-58,AlegAAATTr
394,44,-97,AlegAAATTr
395,45,-66,AlegAAATTr
396,46,-64,AlegAAATTr
397,47,-66,AlegAAATTr
398,48,-28,AlegAAATTr
399,49,-57,AlegAAATTr
400,0,-36,AlegAAATTr
401,1,-62,AlegAAATTr
402,2,34,AlegAAATTr
403,3,27,AlegAAATTr
404,4,-23,AlegAAATTr
405,5,-107,AlegAAATTr
406,6,-76,AlegAAATTr
407,7,-58,AlegAAATTr
408,8,-41,AlegAAATTr
409,9,-54,AlegAAATTr
410,10,-93,AlegAAATTr
411,11,-106,AlegAAATTr
412,12,18,AlegAAATTr
413,13,48,AlegAAATTr
414,14,-98,AlegAAATTr
415,15,-54,AlegAAATTr
416,16,23,AlegAAATTr
417,17,-70,AlegAAATTr
418,18,-12,AlegAAATTr
419,19,23,AlegAAATTr
420,20,28,AlegAAATTr
421,21,-38,AlegAAATTr
422,22,-52,AlegAAATTr
423,23,-100,AlegAAATTr
424,24,-101,AlegAAATTr
425,25,-48,AlegAAATTr
426,26,-102,AlegAAATTr
427,27,-51,AlegAAATTr
428,28,-42,AlegAAATTr
429,29,48,AlegAAATTr
430,30,-100,AlegAAATTr
431,31,-52,AlegAAATTr
432,32,-88,AlegAAATTr
433,33,-48,AlegAAATTr
434,34,-13,AlegAAATTr
435,35,-59,AlegAAATTr
436,36,38,AlegAAATTr
437,37,-100,AlegAAATTr
438,38,-70,AlegAAATTr
439,39,-110,AlegAAATTr
440,40,-98,AlegAAATTr
441,41,-37,AlegAAATTr
442,42,-104,AlegAAATTr
443,43,-116,AlegAAATTr
444,44,-96,AlegAAATTr
445,45,12,AlegAAATTr
446,46,-53,AlegAAATTr
447,47,-11,AlegAAATTr
448,48,-67,AlegAAATTr
449,49,-78,AlegAAATTr
450,0,70,SMAlegAATr
451,1,47,SMAlegAATr
452,2,47,SMAlegAATr
453,3,30,SMAlegAATr
454,4,78,SMAlegAATr
455,5,80,SMAlegAATr
456,6,59,SMAlegAATr
457,7,72,SMAlegAATr
458,8,93,SMAlegAATr
459,9,62,SMAlegAATr
460,10,61,SMAlegAATr
461,11,77,SMAlegAATr
462,12,79,SMAlegAATr
463,13,60,SMAlegAATr
464,14,78,SMAlegAATr
465,15,79,SMAlegAATr
466,16,57,SMAlegAATr
467,17,44,SMAlegAATr
468,18,42,SMAlegAATr
469,19,88,SMAlegAATr
470,20,61,SMAlegAATr
471,21,50,SMAlegAATr
472,22,82,SMAlegAATr
473,23,91,SMAlegAATr
474,24,85,SMAlegAATr
475,25,76,SMAlegAATr
476,26,90,SMAlegAATr
477,27,92,SMAlegAATr
478,28,50,SMAlegAATr
479,29,92,SMAlegAATr
480,30,82,SMAlegAATr
481,31,53,SMAlegAATr
482,32,74,SMAlegAATr
483,33,50,SMAlegAATr
484,34,63,SMAlegAATr
485,35,92,SMAlegAATr
486,36,63,SMAlegAATr
487,37,63,SMAlegAATr
488,38,63,SMAlegAATr
489,39,60,SMAlegAATr
490,40,46,SMAlegAATr
491,41,81,SMAlegAATr
492,42,50,SMAlegAATr
493,43,40,SMAlegAATr
494,44,53,SMAlegAATr
495,45,89,SMAlegAATr
496,46,59,SMAlegAATr
497,47,88,SMAlegAATr
498,48,72,SMAlegAATr
499,49,49,SMAlegAATr
500,0,-83,SMAlegAATr
501,1,-11,SMAlegAATr
502,2,7,SMAlegAATr
503,3,-46,SMAlegAATr
504,4,-23,SMAlegAATr
505,5,-33,SMAlegAATr
506,6,-47,SMAlegAATr
507,7,-20,SMAlegAATr
508,8,-58,SMAlegAATr
509,9,-101,SMAlegAATr
510,10,-5,SMAlegAATr
511,11,-64,SMAlegAATr
512,12,-88,SMAlegAATr
513,13,-43,SMAlegAATr
514,14,-39,SMAlegAATr
515,15,-22,SMAlegAATr
516,16,-11,SMAlegAATr
517,17,-88,SMAlegAATr
518,18,-33,SMAlegAATr
519,19,-9,SMAlegAATr
520,20,-88,SMAlegAATr
521,21,-50,SMAlegAATr
522,22,-32,SMAlegAATr
523,23,-40,SMAlegAATr
524,24,-29,SMAlegAATr
525,25,-35,SMAlegAATr
526,26,-61,SMAlegAATr
527,27,-45,SMAlegAATr
528,28,-43,SMAlegAATr
529,29,-24,SMAlegAATr
530,30,-84,SMAlegAATr
531,31,-49,SMAlegAATr
532,32,19,SMAlegAATr
533,33,-96,SMAlegAATr
534,34,-37,SMAlegAATr
535,35,-65,SMAlegAATr
536,36,-127,SMAlegAATr
537,37,26,SMAlegAATr
538,38,-54,SMAlegAATr
539,39,-20,SMAlegAATr
540,40,-15,SMAlegAATr
541,41,-91,SMAlegAATr
542,42,-15,SMAlegAATr
543,43,-26,SMAlegAATr
544,44,-81,SMAlegAATr
545,45,-10,SMAlegAATr
546,46,-63,SMAlegAATr
547,47,-92,SMAlegAATr
548,48,-63,SMAlegAATr
549,49,-49,SMAlegAATr
550,0,-29,SMAlegAATr
551,1,-8,SMAlegAATr
552,2,-38,SMAlegAATr
553,3,-40,SMAlegAATr
554,4,-22,SMAlegAATr
555,5,-43,SMAlegAATr
556,6,-51,SMAlegAATr
557,7,-34,SMAlegAATr
558,8,-44,SMAlegAATr
559,9,-67,SMAlegAATr
560,10,-92,SMAlegAATr
561,11,-44,SMAlegAATr
562,12,-46,SMAlegAATr
563,13,-66,SMAlegAATr
564,14,-88,SMAlegAATr
565,15,-57,SMAlegAATr
566,16,-41,SMAlegAATr
567,17,-51,SMAlegAATr
568,18,-70,SMAlegAATr
569,19,-35,SMAlegAATr
570,20,-117,SMAlegAATr
571,21,-66,SMAlegAATr
572,22,-83,SMAlegAATr
573,23,14,SMAlegAATr
574,24,-69,SMAlegAATr
575,25,-45,SMAlegAATr
576,26,-22,SMAlegAATr
577,27,-43,SMAlegAATr
578,28,-59,SMAlegAATr
579,29,-99,SMAlegAATr
580,30,-38,SMAlegAATr
581,31,-125,SMAlegAATr
582,32,-150,SMAlegAATr
583,33,-96,SMAlegAATr
584,34,-72,SMAlegAATr
585,35,-99,SMAlegAATr
586,36,-57,SMAlegAATr
587,37,-40,SMAlegAATr
588,38,-67,SMAlegAATr
589,39,-112,SMAlegAATr
590,40,-134,SMAlegAATr
591,41,-59,SMAlegAATr
592,42,-55,SMAlegAATr
593,43,-68,SMAlegAATr
594,44,-44,SMAlegAATr
595,45,-70,SMAlegAATr
596,46,-82,SMAlegAATr
597,47,-72,SMAlegAATr
598,48,-70,SMAlegAATr
599,49,-107,SMAlegAATr
