,SMAlegAATr
0,-92
1,-116
2,-87
3,-99
4,-130
5,-81
6,-59
7,-92
8,-128
9,-91
10,-62
11,-123
12,-42
13,-47
14,-66
15,-53
16,-48
17,-71
18,-48
19,-91
20,-124
21,-45
22,-76
23,-27
24,-45
25,-89
26,-101
27,-73
28,-78
29,-48
30,-57
31,-70
32,-123
33,-79
34,-69
35,-24
36,-47
37,-81
38,-66
39,-76
40,-61
41,-106
42,-48
43,-81
44,-28
45,-113
46,-43
47,-77
48,-98
49,-12
50,-146
51,-174
52,-162
53,-142
54,-186
55,-186
56,-142
57,-170
58,-174
59,-162
60,-154
61,-182
62,-170
63,-174
64,-158
65,-186
66,-158
67,-150
68,-170
69,-170
70,-174
71,-150
72,-162
73,-186
74,-134
75,-178
76,-158
77,-182
78,-178
79,-182
80,-162
81,-166
82,-146
83,-190
84,-174
85,-162
86,-162
87,-146
88,-182
89,-142
90,-170
91,-182
92,-166
93,-166
94,-178
95,-162
96,-122
97,-214
98,-158
99,-178
100,-198
101,-166
102,-162
103,-122
104,-174
105,-178
106,-174
107,-162
108,-134
109,-170
110,-158
111,-166
112,-170
113,-178
114,-166
115,-162
116,-182
117,-174
118,-158
119,-150
120,-182
121,-162
122,-162
123,-162
124,-194
125,-190
126,-178
127,-158
128,-170
129,-182
130,-186
131,-162
132,-162
133,-154
134,-146
135,-154
136,-150
137,-182
138,-138
139,-170
140,-166
141,-178
142,-166
143,-130
144,-182
145,-158
146,-190
147,-158
148,-182
149,-146
