,CoopPunishOpp,BullyOpp,BullyPunishOpp
0,-52,-174,-162
1,-57,-190,-166
2,-74,-154,-166
3,-40,-158,-174
4,-83,-158,-182
5,-80,-154,-178
6,-50,-194,-194
7,-96,-178,-154
8,-75,-150,-174
9,-121,-166,-150
10,-63,-186,-174
11,-74,-138,-174
12,-63,-166,-174
13,-100,-182,-198
14,-44,-166,-158
15,-59,-182,-178
16,-40,-158,-150
17,-80,-194,-146
18,-55,-190,-150
19,-71,-178,-206
20,-54,-174,-142
21,-102,-214,-158
22,-85,-186,-158
23,-45,-158,-182
24,-105,-142,-162
25,-117,-178,-186
26,-90,-178,-162
27,-133,-178,-130
28,-72,-162,-170
29,-118,-178,-178
30,-64,-154,-186
31,-61,-170,-154
32,-94,-150,-174
33,-80,-178,-174
34,-53,-170,-158
35,-79,-154,-182
36,-79,-202,-170
37,-79,-186,-190
38,-89,-154,-154
39,-72,-170,-186
40,-80,-134,-170
41,-85,-162,-210
42,-49,-174,-146
43,-65,-166,-186
44,-77,-138,-174
45,-55,-178,-158
46,-34,-194,-190
47,-71,-150,-162
48,-58,-178,-174
49,-26,-162,-162
