,CoopPunishOpp,BullyOpp,BullyPunishOpp
0,100,98,98
1,100,98,98
2,100,98,98
3,100,98,98
4,100,98,98
5,100,98,98
6,100,98,98
7,100,98,98
8,100,98,98
9,100,98,98
10,100,98,98
11,100,98,98
12,100,98,98
13,100,98,98
14,100,98,98
15,100,98,98
16,100,98,98
17,100,98,98
18,100,98,98
19,100,98,98
20,100,98,98
21,100,98,98
22,100,98,98
23,100,98,98
24,100,98,98
25,100,98,98
26,100,98,98
27,100,98,98
28,100,98,98
29,100,98,98
30,100,98,98
31,100,98,98
32,100,98,98
33,100,98,98
34,100,98,98
35,100,98,98
36,100,98,98
37,100,98,98
38,100,98,98
39,100,98,98
40,100,98,98
41,100,98,98
42,100,98,98
43,100,98,98
44,100,98,98
45,100,98,98
46,100,98,98
47,100,98,98
48,100,98,98
49,100,98,98
