,SMAlegAATr
0,72
1,70
2,56
3,62
4,72
5,60
6,60
7,66
8,72
9,56
10,68
11,48
12,74
13,60
14,74
15,58
16,78
17,72
18,64
19,72
20,66
21,64
22,62
23,68
24,72
25,66
26,54
27,66
28,68
29,72
30,74
31,72
32,70
33,76
34,56
35,64
36,62
37,50
38,62
39,78
40,62
41,70
42,54
43,64
44,60
45,60
46,58
47,62
48,68
49,68
50,78
51,82
52,68
53,76
54,58
55,64
56,76
57,78
58,68
59,70
60,70
61,68
62,78
63,70
64,78
65,68
66,72
67,76
68,66
69,78
70,78
71,68
72,70
73,72
74,74
75,74
76,58
77,68
78,68
79,62
80,64
81,68
82,68
83,78
84,78
85,78
86,70
87,68
88,74
89,76
90,72
91,74
92,70
93,62
94,64
95,76
96,64
97,68
98,66
99,68
100,70
101,64
102,82
103,64
104,82
105,66
106,80
107,72
108,72
109,74
110,68
111,74
112,70
113,68
114,78
115,70
116,66
117,66
118,66
119,68
120,80
121,72
122,76
123,72
124,74
125,82
126,72
127,76
128,68
129,60
130,76
131,66
132,62
133,68
134,64
135,70
136,76
137,74
138,66
139,70
140,66
141,72
142,64
143,72
144,84
145,70
146,68
147,68
148,76
149,74
