,Algaater
0,126
1,124
2,122
3,120
4,120
5,120
6,118
7,126
8,120
9,124
10,118
11,126
12,120
13,124
14,122
15,120
16,122
17,124
18,124
19,122
20,122
21,120
22,120
23,118
24,122
25,118
26,122
27,116
28,122
29,124
30,120
31,118
32,126
33,128
34,124
35,124
36,124
37,118
38,118
39,124
40,116
41,122
42,122
43,124
44,122
45,124
46,120
47,122
48,122
49,122
50,-60
51,-60
52,-60
53,-64
54,-60
55,-62
56,-62
57,-60
58,-60
59,-60
60,-58
61,-60
62,-60
63,-58
64,-60
65,-58
66,-58
67,-60
68,-60
69,-62
70,-60
71,-60
72,-62
73,-60
74,-60
75,-62
76,-60
77,-60
78,-62
79,-60
80,-58
81,-62
82,-62
83,-60
84,-58
85,-62
86,-60
87,-62
88,-58
89,-60
90,-60
91,-60
92,-62
93,-62
94,-60
95,-62
96,-60
97,-62
98,-60
99,-60
100,-62
101,-60
102,-60
103,-62
104,-60
105,-62
106,-60
107,-60
108,-60
109,-62
110,-60
111,-60
112,-62
113,-60
114,-58
115,-60
116,-58
117,-60
118,-60
119,-60
120,-62
121,-62
122,-60
123,-60
124,-64
125,-60
126,-60
127,-64
128,-58
129,-58
130,-62
131,-60
132,-62
133,-60
134,-62
135,-60
136,-60
137,-58
138,-60
139,-60
140,-62
141,-58
142,-62
143,-58
144,-58
145,-62
146,-60
147,-62
148,-60
149,-60
