,Algaater
0,128
1,128
2,128
3,126
4,126
5,128
6,130
7,128
8,130
9,128
10,128
11,126
12,126
13,128
14,130
15,126
16,126
17,128
18,126
19,128
20,128
21,130
22,128
23,126
24,128
25,128
26,126
27,130
28,128
29,128
30,128
31,128
32,128
33,128
34,126
35,128
36,126
37,130
38,130
39,128
40,126
41,126
42,130
43,132
44,128
45,130
46,128
47,128
48,128
49,132
50,-62
51,-62
52,-60
53,-60
54,-62
55,-62
56,-62
57,-60
58,-64
59,-64
60,-64
61,-62
62,-60
63,-60
64,-64
65,-60
66,-64
67,-66
68,-58
69,-62
70,-62
71,-58
72,-62
73,-64
74,-62
75,-62
76,-60
77,-64
78,-64
79,-60
80,-62
81,-60
82,-62
83,-64
84,-66
85,-60
86,-62
87,-60
88,-60
89,-60
90,-66
91,-60
92,-62
93,-62
94,-64
95,-62
96,-60
97,-60
98,-60
99,-62
100,-62
101,-64
102,-60
103,-66
104,-60
105,-64
106,-60
107,-60
108,-60
109,-60
110,-62
111,-60
112,-64
113,-62
114,-62
115,-62
116,-62
117,-64
118,-64
119,-64
120,-60
121,-60
122,-62
123,-62
124,-64
125,-60
126,-60
127,-64
128,-60
129,-62
130,-64
131,-62
132,-66
133,-62
134,-60
135,-62
136,-62
137,-60
138,-60
139,-62
140,-62
141,-60
142,-62
143,-64
144,-60
145,-60
146,-64
147,-64
148,-62
149,-62
