,CoopPunishOpp,BullyOpp,BullyPunishOpp
0,124,-66,-66
1,118,-62,-60
2,118,-66,-60
3,118,-60,-62
4,120,-62,-60
5,128,-64,-66
6,124,-62,-66
7,124,-64,-64
8,126,-66,-64
9,116,-64,-60
10,126,-64,-64
11,120,-64,-62
12,120,-62,-62
13,122,-64,-62
14,120,-60,-62
15,118,-60,-62
16,114,-64,-64
17,120,-60,-62
18,122,-62,-62
19,124,-62,-62
20,116,-58,-62
21,124,-68,-64
22,124,-60,-60
23,122,-66,-64
24,120,-64,-66
25,120,-62,-64
26,126,-62,-66
27,120,-64,-64
28,124,-60,-62
29,122,-62,-62
30,124,-60,-64
31,124,-62,-64
32,124,-62,-62
33,120,-64,-66
34,120,-60,-64
35,120,-62,-60
36,118,-60,-62
37,120,-64,-66
38,122,-64,-62
39,118,-66,-66
40,116,-58,-62
41,118,-62,-60
42,118,-64,-58
43,120,-64,-66
44,124,-62,-62
45,120,-64,-64
46,120,-62,-64
47,126,-66,-62
48,122,-60,-60
49,120,-66,-62
