,Unnamed: 0,Rewards,Agent
0,0,128,AlegAATr
1,1,128,AlegAATr
2,2,128,AlegAATr
3,3,128,AlegAATr
4,4,132,AlegAATr
5,5,130,AlegAATr
6,6,130,AlegAATr
7,7,130,AlegAATr
8,8,126,AlegAATr
9,9,128,AlegAATr
10,10,128,AlegAATr
11,11,130,AlegAATr
12,12,130,AlegAATr
13,13,130,AlegAATr
14,14,130,AlegAATr
15,15,130,AlegAATr
16,16,126,AlegAATr
17,17,124,AlegAATr
18,18,128,AlegAATr
19,19,130,AlegAATr
20,20,126,AlegAATr
21,21,128,AlegAATr
22,22,130,AlegAATr
23,23,130,AlegAATr
24,24,130,AlegAATr
25,25,130,AlegAATr
26,26,128,AlegAATr
27,27,132,AlegAATr
28,28,130,AlegAATr
29,29,130,AlegAATr
30,30,128,AlegAATr
31,31,130,AlegAATr
32,32,130,AlegAATr
33,33,128,AlegAATr
34,34,126,AlegAATr
35,35,130,AlegAATr
36,36,132,AlegAATr
37,37,132,AlegAATr
38,38,126,AlegAATr
39,39,128,AlegAATr
40,40,132,AlegAATr
41,41,126,AlegAATr
42,42,126,AlegAATr
43,43,130,AlegAATr
44,44,130,AlegAATr
45,45,130,AlegAATr
46,46,132,AlegAATr
47,47,128,AlegAATr
48,48,128,AlegAATr
49,49,130,AlegAATr
50,50,-60,AlegAATr
51,51,-60,AlegAATr
52,52,-56,AlegAATr
53,53,-56,AlegAATr
54,54,-58,AlegAATr
55,55,-58,AlegAATr
56,56,-58,AlegAATr
57,57,-56,AlegAATr
58,58,-60,AlegAATr
59,59,-60,AlegAATr
60,60,-62,AlegAATr
61,61,-56,AlegAATr
62,62,-58,AlegAATr
63,63,-58,AlegAATr
64,64,-60,AlegAATr
65,65,-60,AlegAATr
66,66,-60,AlegAATr
67,67,-58,AlegAATr
68,68,-60,AlegAATr
69,69,-58,AlegAATr
70,70,-56,AlegAATr
71,71,-60,AlegAATr
72,72,-64,AlegAATr
73,73,-60,AlegAATr
74,74,-58,AlegAATr
75,75,-60,AlegAATr
76,76,-62,AlegAATr
77,77,-60,AlegAATr
78,78,-58,AlegAATr
79,79,-60,AlegAATr
80,80,-58,AlegAATr
81,81,-62,AlegAATr
82,82,-60,AlegAATr
83,83,-62,AlegAATr
84,84,-64,AlegAATr
85,85,-60,AlegAATr
86,86,-58,AlegAATr
87,87,-60,AlegAATr
88,88,-58,AlegAATr
89,89,-58,AlegAATr
90,90,-62,AlegAATr
91,91,-56,AlegAATr
92,92,-60,AlegAATr
93,93,-62,AlegAATr
94,94,-58,AlegAATr
95,95,-60,AlegAATr
96,96,-58,AlegAATr
97,97,-62,AlegAATr
98,98,-64,AlegAATr
99,99,-60,AlegAATr
100,100,-60,AlegAATr
101,101,-56,AlegAATr
102,102,-60,AlegAATr
103,103,-58,AlegAATr
104,104,-60,AlegAATr
105,105,-60,AlegAATr
106,106,-58,AlegAATr
107,107,-58,AlegAATr
108,108,-64,AlegAATr
109,109,-58,AlegAATr
110,110,-64,AlegAATr
111,111,-58,AlegAATr
112,112,-62,AlegAATr
113,113,-58,AlegAATr
114,114,-58,AlegAATr
115,115,-62,AlegAATr
116,116,-58,AlegAATr
117,117,-58,AlegAATr
118,118,-58,AlegAATr
119,119,-58,AlegAATr
120,120,-58,AlegAATr
121,121,-62,AlegAATr
122,122,-60,AlegAATr
123,123,-58,AlegAATr
124,124,-58,AlegAATr
125,125,-64,AlegAATr
126,126,-62,AlegAATr
127,127,-62,AlegAATr
128,128,-56,AlegAATr
129,129,-62,AlegAATr
130,130,-60,AlegAATr
131,131,-60,AlegAATr
132,132,-58,AlegAATr
133,133,-60,AlegAATr
134,134,-60,AlegAATr
135,135,-58,AlegAATr
136,136,-58,AlegAATr
137,137,-60,AlegAATr
138,138,-60,AlegAATr
139,139,-58,AlegAATr
140,140,-62,AlegAATr
141,141,-58,AlegAATr
142,142,-62,AlegAATr
143,143,-62,AlegAATr
144,144,-60,AlegAATr
145,145,-58,AlegAATr
146,146,-56,AlegAATr
147,147,-62,AlegAATr
148,148,-60,AlegAATr
149,149,-58,AlegAATr
150,0,146,AlegAAATr
151,1,144,AlegAAATr
152,2,148,AlegAAATr
153,3,144,AlegAAATr
154,4,144,AlegAAATr
155,5,144,AlegAAATr
156,6,146,AlegAAATr
157,7,144,AlegAAATr
158,8,146,AlegAAATr
159,9,144,AlegAAATr
160,10,146,AlegAAATr
161,11,148,AlegAAATr
162,12,148,AlegAAATr
163,13,146,AlegAAATr
164,14,146,AlegAAATr
165,15,146,AlegAAATr
166,16,148,AlegAAATr
167,17,144,AlegAAATr
168,18,144,AlegAAATr
169,19,140,AlegAAATr
170,20,144,AlegAAATr
171,21,148,AlegAAATr
172,22,144,AlegAAATr
173,23,144,AlegAAATr
174,24,148,AlegAAATr
175,25,148,AlegAAATr
176,26,148,AlegAAATr
177,27,146,AlegAAATr
178,28,144,AlegAAATr
179,29,148,AlegAAATr
180,30,144,AlegAAATr
181,31,148,AlegAAATr
182,32,144,AlegAAATr
183,33,146,AlegAAATr
184,34,144,AlegAAATr
185,35,146,AlegAAATr
186,36,144,AlegAAATr
187,37,146,AlegAAATr
188,38,146,AlegAAATr
189,39,148,AlegAAATr
190,40,148,AlegAAATr
191,41,144,AlegAAATr
192,42,148,AlegAAATr
193,43,144,AlegAAATr
194,44,146,AlegAAATr
195,45,148,AlegAAATr
196,46,148,AlegAAATr
197,47,148,AlegAAATr
198,48,146,AlegAAATr
199,49,148,AlegAAATr
200,50,-64,AlegAAATr
201,51,-64,AlegAAATr
202,52,-68,AlegAAATr
203,53,-64,AlegAAATr
204,54,-66,AlegAAATr
205,55,-62,AlegAAATr
206,56,-66,AlegAAATr
207,57,-60,AlegAAATr
208,58,-64,AlegAAATr
209,59,-60,AlegAAATr
210,60,-66,AlegAAATr
211,61,-64,AlegAAATr
212,62,-70,AlegAAATr
213,63,-64,AlegAAATr
214,64,-60,AlegAAATr
215,65,-68,AlegAAATr
216,66,-68,AlegAAATr
217,67,-58,AlegAAATr
218,68,-68,AlegAAATr
219,69,-64,AlegAAATr
220,70,-68,AlegAAATr
221,71,-66,AlegAAATr
