"visualTrait is 0, homophily is 0, alpha is 94, otherishDebtLimits is 65, coalitionTarget is 90, fixedUsage is 42, w_modularity is 74, w_centrality is 79, w_collective_strength is 83, w_familiarity is 1, w_prosocial is 97, initialDefense is 27, minKeep is 44, defenseUpdate is 31, defensePropensity is 61, fearDefense is 12, safetyFirst is 26, pillageFury is 0, pillageDelay is 33, pillagePriority is 42, pillageMargin is 0, pillageCompanionship is 2, pillageFriends is 95, vengenceMultiplier is 30, vengenceMax is 46, vengencePriority is 10, defendFriendMultiplier is 73, defendFriendMax is 90, defendFriendPriority is 63, attackGoodGuys is 73, limitingGive is 47, groupAware is 63, joinCoop is 0"
"visualTrait is 0, homophily is 0, alpha is 94, otherishDebtLimits is 65, coalitionTarget is 90, fixedUsage is 42, w_modularity is 74, w_centrality is 79, w_collective_strength is 83, w_familiarity is 1, w_prosocial is 97, initialDefense is 27, minKeep is 44, defenseUpdate is 31, defensePropensity is 61, fearDefense is 12, safetyFirst is 26, pillageFury is 0, pillageDelay is 33, pillagePriority is 42, pillageMargin is 0, pillageCompanionship is 2, pillageFriends is 95, vengenceMultiplier is 30, vengenceMax is 46, vengencePriority is 10, defendFriendMultiplier is 73, defendFriendMax is 90, defendFriendPriority is 63, attackGoodGuys is 73, limitingGive is 47, groupAware is 63, joinCoop is 0"
"visualTrait is 0, homophily is 0, alpha is 94, otherishDebtLimits is 65, coalitionTarget is 90, fixedUsage is 42, w_modularity is 74, w_centrality is 79, w_collective_strength is 83, w_familiarity is 1, w_prosocial is 97, initialDefense is 27, minKeep is 44, defenseUpdate is 31, defensePropensity is 61, fearDefense is 12, safetyFirst is 26, pillageFury is 0, pillageDelay is 33, pillagePriority is 42, pillageMargin is 0, pillageCompanionship is 2, pillageFriends is 95, vengenceMultiplier is 30, vengenceMax is 46, vengencePriority is 10, defendFriendMultiplier is 73, defendFriendMax is 90, defendFriendPriority is 63, attackGoodGuys is 73, limitingGive is 47, groupAware is 63, joinCoop is 0"
"visualTrait is 0, homophily is 0, alpha is 94, otherishDebtLimits is 65, coalitionTarget is 90, fixedUsage is 42, w_modularity is 74, w_centrality is 79, w_collective_strength is 83, w_familiarity is 1, w_prosocial is 97, initialDefense is 27, minKeep is 44, defenseUpdate is 31, defensePropensity is 61, fearDefense is 12, safetyFirst is 26, pillageFury is 0, pillageDelay is 33, pillagePriority is 42, pillageMargin is 0, pillageCompanionship is 2, pillageFriends is 95, vengenceMultiplier is 30, vengenceMax is 46, vengencePriority is 10, defendFriendMultiplier is 73, defendFriendMax is 90, defendFriendPriority is 63, attackGoodGuys is 73, limitingGive is 47, groupAware is 63, joinCoop is 0"
"visualTrait is 0, homophily is 0, alpha is 94, otherishDebtLimits is 65, coalitionTarget is 90, fixedUsage is 42, w_modularity is 74, w_centrality is 79, w_collective_strength is 83, w_familiarity is 1, w_prosocial is 97, initialDefense is 27, minKeep is 44, defenseUpdate is 31, defensePropensity is 61, fearDefense is 12, safetyFirst is 26, pillageFury is 0, pillageDelay is 33, pillagePriority is 42, pillageMargin is 0, pillageCompanionship is 2, pillageFriends is 95, vengenceMultiplier is 30, vengenceMax is 46, vengencePriority is 10, defendFriendMultiplier is 73, defendFriendMax is 90, defendFriendPriority is 63, attackGoodGuys is 73, limitingGive is 47, groupAware is 63, joinCoop is 0"
"visualTrait is 0, homophily is 0, alpha is 94, otherishDebtLimits is 65, coalitionTarget is 90, fixedUsage is 42, w_modularity is 74, w_centrality is 79, w_collective_strength is 83, w_familiarity is 1, w_prosocial is 97, initialDefense is 27, minKeep is 44, defenseUpdate is 31, defensePropensity is 61, fearDefense is 12, safetyFirst is 26, pillageFury is 0, pillageDelay is 33, pillagePriority is 42, pillageMargin is 0, pillageCompanionship is 2, pillageFriends is 95, vengenceMultiplier is 30, vengenceMax is 46, vengencePriority is 10, defendFriendMultiplier is 73, defendFriendMax is 90, defendFriendPriority is 63, attackGoodGuys is 73, limitingGive is 47, groupAware is 63, joinCoop is 0"
"visualTrait is 0, homophily is 0, alpha is 94, otherishDebtLimits is 65, coalitionTarget is 90, fixedUsage is 42, w_modularity is 74, w_centrality is 79, w_collective_strength is 83, w_familiarity is 1, w_prosocial is 97, initialDefense is 27, minKeep is 44, defenseUpdate is 31, defensePropensity is 61, fearDefense is 12, safetyFirst is 26, pillageFury is 0, pillageDelay is 33, pillagePriority is 42, pillageMargin is 0, pillageCompanionship is 2, pillageFriends is 95, vengenceMultiplier is 30, vengenceMax is 46, vengencePriority is 10, defendFriendMultiplier is 73, defendFriendMax is 90, defendFriendPriority is 63, attackGoodGuys is 73, limitingGive is 47, groupAware is 63, joinCoop is 0"
"visualTrait is 0, homophily is 0, alpha is 94, otherishDebtLimits is 65, coalitionTarget is 90, fixedUsage is 42, w_modularity is 74, w_centrality is 79, w_collective_strength is 83, w_familiarity is 1, w_prosocial is 97, initialDefense is 27, minKeep is 44, defenseUpdate is 31, defensePropensity is 61, fearDefense is 12, safetyFirst is 26, pillageFury is 0, pillageDelay is 33, pillagePriority is 42, pillageMargin is 0, pillageCompanionship is 2, pillageFriends is 95, vengenceMultiplier is 30, vengenceMax is 46, vengencePriority is 10, defendFriendMultiplier is 73, defendFriendMax is 90, defendFriendPriority is 63, attackGoodGuys is 73, limitingGive is 47, groupAware is 63, joinCoop is 0"
"visualTrait is 0, homophily is 0, alpha is 94, otherishDebtLimits is 65, coalitionTarget is 90, fixedUsage is 42, w_modularity is 74, w_centrality is 79, w_collective_strength is 83, w_familiarity is 1, w_prosocial is 97, initialDefense is 27, minKeep is 44, defenseUpdate is 31, defensePropensity is 61, fearDefense is 12, safetyFirst is 26, pillageFury is 0, pillageDelay is 33, pillagePriority is 42, pillageMargin is 0, pillageCompanionship is 2, pillageFriends is 95, vengenceMultiplier is 30, vengenceMax is 46, vengencePriority is 10, defendFriendMultiplier is 73, defendFriendMax is 90, defendFriendPriority is 63, attackGoodGuys is 73, limitingGive is 47, groupAware is 63, joinCoop is 0"
"visualTrait is 0, homophily is 0, alpha is 94, otherishDebtLimits is 65, coalitionTarget is 90, fixedUsage is 42, w_modularity is 74, w_centrality is 79, w_collective_strength is 83, w_familiarity is 1, w_prosocial is 97, initialDefense is 27, minKeep is 44, defenseUpdate is 31, defensePropensity is 61, fearDefense is 12, safetyFirst is 26, pillageFury is 0, pillageDelay is 33, pillagePriority is 42, pillageMargin is 0, pillageCompanionship is 2, pillageFriends is 95, vengenceMultiplier is 30, vengenceMax is 46, vengencePriority is 10, defendFriendMultiplier is 73, defendFriendMax is 90, defendFriendPriority is 63, attackGoodGuys is 73, limitingGive is 47, groupAware is 63, joinCoop is 0"
"visualTrait is 0, homophily is 0, alpha is 94, otherishDebtLimits is 65, coalitionTarget is 90, fixedUsage is 42, w_modularity is 74, w_centrality is 79, w_collective_strength is 83, w_familiarity is 1, w_prosocial is 97, initialDefense is 27, minKeep is 44, defenseUpdate is 31, defensePropensity is 61, fearDefense is 12, safetyFirst is 26, pillageFury is 0, pillageDelay is 33, pillagePriority is 42, pillageMargin is 0, pillageCompanionship is 2, pillageFriends is 95, vengenceMultiplier is 30, vengenceMax is 46, vengencePriority is 10, defendFriendMultiplier is 73, defendFriendMax is 90, defendFriendPriority is 63, attackGoodGuys is 73, limitingGive is 47, groupAware is 63, joinCoop is 0"
